Id	RsUid	GbUid	AssemblyAccession	LastMajorReleaseAccession	AssemblyName	Taxid	Organism	SpeciesTaxid	SpeciesName	BioprojectAccn	BioSampleAccn	BioSampleId 
 5117671	14992698	14988098	GCF_902514385.1	GCF_902514385.1	AG-319-O23	1883427	Actinobacteria bacterium (high GC Gram+)	1883427	Actinobacteria bacterium	PRJEB33281	PRJNA224116	SAMEA6077181	13127096
5026071	14924038	14769348	GCF_009296195.1	GCF_009296195.1	ASM929619v1	2108360	Microvirga tunisiensis (a-proteobacteria)	2108360	Microvirga tunisiensis	PRJNA558674	PRJNA224116	SAMN08622980	8622980
4970771	14679078	14650148	GCF_009184765.1	GCF_009184765.1	ASM918476v1	1812935	Enterobacter roggenkampii (enterobacteria)	1812935	Enterobacter roggenkampii	PRJNA415108	PRJNA224116	SAMN12995719	12995719
4744691	14256678	14134928	GCF_008728435.1	GCF_008728435.1	ASM872843v1	1747	Cutibacterium acnes (high GC Gram+)	1747	Cutibacterium acnes	PRJNA573554	PRJNA224116	SAMN12816929	12816929
4742091	14190968	14127648	GCF_902459565.1	GCF_902459565.1	LMG 31011	2508290	Pandoraea aquatica (b-proteobacteria)	2508290	Pandoraea aquatica	PRJEB30756	PRJNA224116	SAMEA5537670	12699568
4692181	14090908	14009328	GCF_008638345.1	GCF_008638345.1	ASM863834v1	2586906	Pseudomonas saliphila (g-proteobacteria)	2586906	Pseudomonas saliphila	PRJNA546223	PRJNA224116	SAMN11954203	11954203
4468921	13598198	13507388	GCF_008180685.1	GCF_008180685.1	ASM818068v1	189381	Bacillus marisflavi (firmicutes)	189381	Bacillus marisflavi	PRJNA561254	PRJNA224116	SAMN12612705	12612705
4432081	13446738	13420998	GCF_008107605.1	GCF_008107605.1	ASM810760v1	2078691	Streptomyces sp. CB01881 (high GC Gram+)	2078691	Streptomyces sp. CB01881	PRJNA506854	PRJNA224116	SAMN10475037	10475037
4417201	13442378	13387898	GCF_902363255.1	GCF_902363255.1	MGYG-HGUT-00102	1904861	Peptostreptococcaceae bacterium (firmicutes)	1904861	Peptostreptococcaceae bacterium	PRJEB33885	PRJNA224116	SAMEA5849603	12518556
4405761	13441218	13364958	GCF_902399795.1	GCF_902399795.1	UHGG_MGYG-HGUT-03686	2485925	Oscillospiraceae bacterium (firmicutes)	2485925	Oscillospiraceae bacterium	PRJEB33885	PRJNA224116	SAMEA5853192	12522193
4399121	13399038	13349938	GCF_003071525.2	GCF_003071525.2	ASM307152v2	1270	Micrococcus luteus (high GC Gram+)	1270	Micrococcus luteus	PRJNA388547	PRJNA224116	SAMN08222739	8222739
4389431	13358338	13314458	GCF_008065115.1	GCF_008065115.1	ASM806511v1	1400387	Bythopirellula goksoyri (bacteria)	1400387	Bythopirellula goksoyri	PRJNA485700	PRJNA224116	SAMN10980023	10980023
4351081	13340858	13235548	GCF_902385745.1	GCF_902385745.1	UHGG_MGYG-HGUT-02310	1033741	Microvirga massiliensis (a-proteobacteria)	1033741	Microvirga massiliensis	PRJEB33885	PRJNA224116	SAMEA5851814	12520812
4335771	13214888	13185188	GCF_007991775.1	GCF_007991775.1	ASM799177v1	393310	Skermanella aerolata (a-proteobacteria)	393310	Skermanella aerolata	PRJDB6248	PRJNA224116	SAMD00171874	11656360
4210661	13036438	12894898	GCF_007752135.1	GCF_007752135.1	ASM775213v1	2527968	Aureliella helgolandensis (bacteria)	2527968	Aureliella helgolandensis	PRJNA485700	PRJNA224116	SAMN10953988	10953988
4167531	13034098	12801718	GCF_007665835.1	GCF_007665835.1	ASM766583v1	1270	Micrococcus luteus (high GC Gram+)	1270	Micrococcus luteus	PRJNA543692	PRJNA224116	SAMN11792731	11792731
4113311	12992088	12686148	GCF_007559155.1	GCF_007559155.1	ASM755915v1	1684	Bifidobacterium asteroides (high GC Gram+)	1684	Bifidobacterium asteroides	PRJNA556053	PRJNA224116	SAMN12340345	12340345
3920071	12856008	12292508	GCF_007176755.1	GCF_007176755.1	ASM717675v1	2590549	Streptomyces sp. 1-11 (high GC Gram+)	2590549	Streptomyces sp. 1-11	PRJDB8478	PRJNA224116	SAMD00177033	12142731
3887681	12758158	12227358	GCF_007115105.1	GCF_007115105.1	ASM711510v1	2571127	Clostridium sp. HBUAS56010 (firmicutes)	2571127	Clostridium sp. HBUAS56010	PRJNA533874	PRJNA224116	SAMN11470413	11470413
3886901	12855948	12225798	GCF_007113545.1	GCF_007113545.1	ASM711354v1	2594457	Streptomyces sp. RLB3-6 (high GC Gram+)	2594457	Streptomyces sp. RLB3-6	PRJNA553182	PRJNA224116	SAMN12234764	12234764
3788801	12152338	12008858	GCF_901456055.1	GCF_901456055.1	PUATCC27989T	1972431	Phytobacter ursingii (enterobacteria)	1972431	Phytobacter ursingii	PRJEB32294	PRJNA224116	SAMEA5577247	12125357
3677711	11981478	11779708	GCF_006716915.1	GCF_006716915.1	ASM671691v1	2587050	Terrabacter sp. 3211 (high GC Gram+)	2587050	Terrabacter sp. 3211	PRJNA547157	PRJNA224116	SAMN12024117	12024117
3592651	11695338	11602328	GCF_006546765.1	GCF_006546765.1	ASM654676v1	1488	Clostridium acetobutylicum (firmicutes)	1488	Clostridium acetobutylicum	PRJNA551017	PRJNA224116	SAMN12137399	12137399
3589031	11650028	11593178	GCF_006539505.1	GCF_006539505.1	ASM653950v1	284043	Streptomyces spinoverrucosus (high GC Gram+)	284043	Streptomyces spinoverrucosus	PRJDB6034	PRJNA224116	SAMD00097539	12056593
3423381	11385068	11170658	GCF_901002095.1	GCF_901002095.1	4995_2#2	1496	Clostridioides difficile (firmicutes)	1496	Clostridioides difficile	PRJEB2134	PRJNA224116	SAMEA840517	212739
2788351	9840808	9820678	GCF_005217565.1	GCF_005217565.1	ASM521756v1	2528631	Puteibacter caeruleilacunae (CFB group bacteria)	2528631	Puteibacter caeruleilacunae	PRJNA523519	PRJNA224116	SAMN10983195	10983195
2580891	9413498	9345418	GCF_004799725.1	GCF_004799725.1	ASM479972v1	1275	Kocuria rosea (high GC Gram+)	1275	Kocuria rosea	PRJNA524667	PRJNA224116	SAMN11029901	11029901
2545451	9264988	9232318	GCF_004745805.1	GCF_004745805.1	ASM474580v1	2512237	Mycolicibacterium sp. CH28 (high GC Gram+)	2512237	Mycolicibacterium sp. CH28	PRJNA520790	PRJNA224116	SAMN10867835	10867835
2441251	9036628	9001138	GCF_004535885.1	GCF_004535885.1	ASM453588v1	2508306	Leisingera sp. NJS201 (a-proteobacteria)	2508306	Leisingera sp. NJS201	PRJNA515513	PRJNA224116	SAMN10756573	10756573
2436081	9029808	8988028	GCF_004525745.1	GCF_004525745.1	ASM452574v1	256701	Glutamicibacter arilaitensis (high GC Gram+)	256701	Glutamicibacter arilaitensis	PRJNA522655	PRJNA224116	SAMN10948369	10948369
